Title	Abstract
Ponding in Intermittent Streams: a Refuge for Lotic Taxa and a Habitat for Newly Colonising Taxa?	Intermittent rivers are temporally dynamic, shifting between lotic, lentic (ponding) and dry habitat phases, yet almost all research effort has focussed on the lotic phase, with limited research attention on the lentic and dry phases. Information regarding the biological diversity of the lentic phase is vital to quantify the total aquatic biodiversity, their use as flow refugia, and the long-term conservation and management of intermittent rivers. In this study, we compared the diversity and composition of macroinvertebrates from perennial, intermittent and ponded sites in two intermittent rivers in the United Kingdom. We examined whether instream ponding provided refugia for lotic taxa and a habitat for newly colonising taxa. A total of 129 taxa (perennial - 86, intermittent - 82, ponding - 78) were recorded. Instream ponds were found to support heterogeneous communities compared to flowing sites. Twenty-two percent of taxa were recorded only from ponded sites, many of which were lentic specialists, while 38% of taxa persisted in instream ponds after flow had ceased. Results from this study highlight that instream ponds provide an important flow refuge for macroinvertebrates including rheophilic taxa, which move into instream ponds when channels become longitudinally disconnected, and makes a significant contribution to aquatic diversity in intermittent rivers, providing suitable habitat for newly colonising taxa. Aquatic diversity in intermittent rivers may have been underestimated historically, failing to acknowledge the ecological contribution of the lentic phase. Incorporating the ponding phase alongside the lotic phase will ensure the total aquatic biodiversity of intermittent rivers is quantified and effective biodiversity conservation and management strategies are employed.
Trait Emotional Intelligence and Attentional Bias for Positive Emotion: an Eye Tracking Study	Emotional intelligence (EI) may promote wellbeing through facilitation of adaptive attentional processing patterns. In the current study, a total of 54 adults (43 females, mean age = 25 years, SD = 10 years) completed a Trait Emotional Intelligence (TEI) scale and took part in three eye-tracking tasks, where they viewed (1) faces with different emotions (happy, angry, fearful, neutral), (2) 16-face crowds with varying ratios of happy to angry faces, and (3) 4 visual scenes (physical threat, social threat, positive social, neutral). Findings showed that higher TEI was associated with more attention to positive emotional stimuli (happy faces, positive social scenes), relative to negative and neutral stimuli.  An attentional preference for positive rather than negative emotional stimuli may be one way that TEI affords protection from stressors to promote mental health.
A Randomized Controlled Trial of Comprehensive Early Intervention Care in Patients with First-Episode Psychosis in Japan: 1.5-year Outcomes from the J-CAP Study	The first episode of psychosis represents a critical period wherein comprehensive early intervention in psychosis (EIP) may alter the course of illness. However, evidence from randomized controlled trials that have examined the impact of comprehensive EIP care on clinical and functional recovery assessed by independent blinded raters is limited. The objective of this study was to conduct a single-blinded multicenter trial comparing comprehensive EIP care and standard care in young patients with first-episode psychosis (FEP) in Japan (J-CAP Study). A total of 77 participants with FEP (aged 15–35 years) were randomized to receive standard care or specialized comprehensive EIP care and were followed up for 1.5 years (trial no.: UMIN000005092). Function (measured with the Global Assessment of Functioning) and clinical remission (defined by internationally standardized criteria proposed by the Remission in Schizophrenia Working Group) were evaluated by independent raters who were blinded to group assignment. Dropout rate and other secondary outcomes were also examined. The specialized EIP care group had a higher clinical remission rate (odds ratio, 6.3; 95% confidence interval, 1.0–37.9) and lower treatment dropout rate (odds ratio, 0.038; 95% confidence interval, 0.002–0.923) than the standard care group, even after adjusting for baseline characteristics. Functional improvement in the specialized EIP care group was slightly higher than that in the standard care group, but this difference was not statistically significant (p = 0.195). From the results, we conclude that comprehensive EIP care may provide advantages over standard care in patients with FEP.
Widening Higher Education Participation in Rural Communities in England: An Anchor Institution Model	Against a United Kingdom policy background of attempts to widen higher education participation in a socially inclusive direction, this article analyses theory, policy and practice to understand why past efforts have had limited success and to propose an alternative: an "anchor institution" model. A university and a private training provider were the principal partners in this venture, known as the South-West Partnership; the model was developed by them to meet the particular needs of mature female students who want and/or need to study part-time in a rural, coastal and isolated area of south-west England. While the concept of "anchor institutions" has previously been used in government social policy, and in higher education to promote knowledge transfer, it has not yet been adopted as a method for widening participation. The research study presented in this article investigated the effectiveness of the model in widening higher education participation in the context of the South-West Partnership. The study was conducted within an interpretivist theoretical framework. It accessed student voice to illustrate the character of education required to widen participation in vocational higher education by mature female students in rural communities, through semi-structured qualitative interviews on a range of topics identified from relevant theoretical literature, and by drawing on the research team's professional knowledge and experience. These topics included student aspirations and career destinations, motivations, access, learning experiences, and peer and tutor support. It is hoped the findings will inform the future development of adult vocational higher education provision in rural areas, where opportunities have been limited, and encourage further application of the anchor institution model for widening participation elsewhere.
From Manned to Unmanned Aircraft: Adapting Airborne  Particle Size Mapping Methodologies to the Characteristics  of sUAS and SfM	Subaerial particle size data holds a wealth of valuable information for fluvial, coastal, glacial and other sedimentological applications. Recently, we have gained the opportunity to map and quantify particle sizes at the mesoscale using data derived from small unmanned aerial system (sUAS) imagery processed using structure from motion (SfM) photogrammetry. These sUAS-SfM approaches have been based typically on calibrating orthoimage texture or point cloud roughness with particle size. Variable levels of success are reported and a single, robust method capable of producing consistently accurate and precise results in a range of settings has remained elusive. In this paper, we develop an original method for particle size mapping with the specific constraints of sUAS and SfM in mind. This method uses the texture of single sUAS images, rather than orthoimages, calibrated with particle sizes normalised by individual image scale. We compare results against existing orthoimage texture and roughness approaches, and provide the first quantitative investigation into the implications of the use of sUAS camera gimbals. Our results indicate that our novel single image method delivers the optimal particle size mapping performance for our study site, outperforming both other methods and delivering residual mean errors of 0.02mm (accuracy), standard deviation of residual errors of 6.90mm (precision) and maximum residual errors of 16.50mm. Accuracy values are more than two orders of magnitude worse when a camera gimbal is not used, thereby demonstrating the critical importance of mechanical image stabilisation for particle size mapping using measures of image texture.
Wildflower Strip Establishment for the Delivery of Ecosystem Services in Sweet Cherry Orchards	The practice of introducing wildflower habitats in cropped areas is an approach that can be used to enhance ecosystem services. The value of such an approach will be affected by the establishment success of the sown species. To investigate this, 12 strips of wildflower habitat were established in alleyways between rows of cherry trees at three sites in the West Midlands (UK). The establishment of plants in sown strips was compared to six untreated alleyways that received conventional management. Eight forb species and one grass species was sown in strips measuring 1 m × 95 m. The establishment success of the sown species and their contribution to the vegetation of the alleyway was determined using percentage cover assessments in replicate quadrats. Dactylis glomerata, Leucanthemum vulgare, Prunella vulgaris and Lotus corniculatus established most consistently and with greater cover values in the sown strips. However, the sown strips were also associated with a greater abundance of unsown species, some of which are classed as weeds.
The Influence of Seed Mix and Management on the Performance and Persistence of Sown Forbs in Buffer Strips	A popular option under agri-environmental schemes throughout Europe has been the introduction of buffer strips adjacent to field boundaries. Buffer strips are usually established using grass-only seed mixes, or through natural regeneration. As a consequence, their  function and biodiversity value might be limited due to a low presence of desirable forb species. Given the financial barrier of using forb-rich seed mixes, there is a need to identify species that establish reliably in parallel with management options that encourage their  persistence. In a 5-year study across three different sites we investigated the responses of 32 different  forb species sown in two different grass-based seed mixes tailored to soil type. Generally, there was an increase in sown forb cover with time, and this effect was greatest in plots sown with fine-grasses treated with an application of graminicide or an annual cut. We  have identified a suite of ten forb species that are likely to establish and persist in buffer strip habitats.
Detection and Seroprevalence of Morbillivirus and Other Paramyxoviruses in Geriatric Cats with and without Evidence of Azotemic Chronic Kidney Disease	Feline morbillivirus (FeMV) is associated with the presence of tubulo-interstitial nephritis (TIN) in cats, however the seroprevalence of FeMV in the UK and the association between the presence of FeMV and renal azotemia is unknown HYPOTHESIS/OBJECTIVES: To identify whether paramyxoviruses are present in urine samples of geriatric cats and to develop an assay to assess FeMV seroprevalence. To investigate the relationship between both urinary paramyxovirus (including FeMV) excretion and FeMV seroprevalence and azotemic chronic kidney disease (CKD). Seventy-nine cats (40 for FeMV detection; 72 for seroprevalence). Retrospective cross-sectional, case control study. Viral RNA was extracted from urine for RT-PCR. PCR products were sequenced for virus identification and comparison. The FeMV N protein gene was cloned and partially purified for use as an antigen to screen cat sera for anti-FeMV antibodies by Western Blot. Feline morbillivirus RNA from five distinct morbilliviruses were identified. Detection was not significantly different between azotemic CKD (1/16) and nonazotemic groups (4/24; P = .36). Three distinct, non-FeMV paramyxoviruses were present in the nonazotemic group but their absence from the azotemic group was not statistically significant (P = .15). 6/14 (43%) azotemic cats and 40/55 (73%) nonazotemic cats were seropositive (P = .06). Feline morbillivirus was detected in cats in the UK for the First time. However, there was no association between virus prevalence or seropositivity and azotemic CKD. These data do not support the hypothesis that FeMV infection is associated with the development of azotemic CKD in cats in the UK. [Abstract copyright: © 2018 The Authors. Journal of Veterinary Internal Medicine published by Wiley Periodicals, Inc. on behalf of the American College of Veterinary Internal Medicine.]
How to Inspire Vocational Learners and Raise Aspirations	Inspiring learners and raising aspirations lies at the heart of vocational education and training, and is central to the professional practice of teachers,work-based mentors and assessors.Raising aspirations is a complex challenge for the further education and training sector due to the range and diversity of provision and changes imposed by successive governments.In this changing policy and educational context, it is the professional practice  of all those who work in the sector that enables vocational learners to achieve their ambitions.This article aims to contribute to existing professional practice by using  evidence from educational research and theories of teaching, learning and assessment to suggest practical  strategies for inspiring and motivating learners on vocational programmes.The strategies and examples of  what works come from vocational and lifelong provision in colleges,independent training providers,workplaces and community settings.The content of this article links  to standard 3 in the Professional Standards for Teachers and Trainers in Education and Training framework  (inspire, motivate and raise aspirations of learners through your enthusiasm and knowledge) and to standard  13 (motivate and inspire learners to promote achievement and develop their skills to enable progression).
Changing It Up: Implications of Mid-season Coach Change on Basketball Players’ Career and Professional Identities	Career and professional identities are utilized as a conceptual framework to consider the complexities of basketball players’ working lives amidst mid-season coach change. Seven male professional basketball players, working in top European leagues, participated in semi-structured interviews. The interviews were centred on career trajectories and incidents of mid-season coach change. Results indicate sports workers’ career success is contingent upon strategically undertaking identity work in order to best respond to the demands of the organizational context. Players’ experiences of coach turnover, for example, may have varied however, the event had discernible influence on how they understood themselves, their positional relationship and overall longevity in the sport. Of concern is the necessity for organizations to appreciate their roles in shaping the settings in which their employees work, and the related consequences that contextual changes have in worker’s abilities to labour and the strategies they may need to utilize to cope with such change.
