Title	Abstract	Keywords
A Prospective Research Study to Investigate the Impact of Complementary Therapies on Patient Well-being in Palliative Care	Complementary therapies are being used more in the UK over the last two decades and yet very little evidence of their benefit is available. The aim of this study was to  investigate, through face to face interviews with patients, using a phenomenlogical approach the perceived benefits of the different therapies in terms of their overall patient well-being. Eight patients; mean age 52.87 years, range 40-64 years presenting in the palliative care phase for life limiting conditions comprising one male and seven females agreed to participate in the study between March and September 2015. All eight participants reported perceived benefited from the therapies and that their identified concerns had been ameliorated. Participants reported feeling relaxed, calmer and being able to carry on with their daily lives and refocussing on themselves and what is important in life. Complementary therapies played a positive role, and therefore, an acceptable model of supporting palliative  care patients.	well-being
Mapping of Submerged Aquatic Vegetation in Rivers From Very High Resolution Image Data, Using Object Based Image Analysis Combined with Expert Knowledge	The use of remote sensing for monitoring of submerged aquatic vegetation (SAV) in fluvial environments has been limited by the spatial and spectral resolution of available image data. The absorption of light in water also complicates the use of common image analysis methods. This paper presents the results of a study that uses very high resolution (VHR) image data, collected with a Near Infrared sensitive DSLR camera, to map the distribution of SAV species for three sites along the Desselse Nete, a lowland river in Flanders, Belgium. Plant species, including Ranunculus aquatilis L., Callitriche obtusangula Le Gall, Potamogeton natans L., Sparganium emersum L. and Potamogeton crispus L., were classified from the data using Object-Based Image Analysis (OBIA) and expert knowledge. A classification rule set based on a combination of both spectral and structural image variation (e.g. texture and shape) was developed for images from two sites. A comparison of the classifications with manually delineated ground truth maps resulted for both sites in 61% overall accuracy. Application of the rule set to a third validation image, resulted in 53% overall accuracy. These consistent results show promise for species level mapping in such biodiverse environments, but also prompt a discussion on assessment of classification accuracy.	water
Midwives Understanding of Physical Activity Guidelines During Pregnancy	Objective to examine the current level of understanding held by midwives regarding the NICE physical activity guidelines in the UK, and to investigate the physical activity guidance given to women during pregnancy. Design an 11 question online survey comprising of a mixture of closed and open ended questions. Setting data reflects participants sampled across the United Kingdom. Participants fifty-nine midwives completed the online survey Measurements and findings an electronic survey was used to explore the midwives understanding of physical activity guidelines during pregnancy, and the advice they offered to women in their care. Qualitative content analysis was used to gain a more in-depth understanding of midwife knowledge. Two per cent of midwives correctly identified the physical activity guidelines, with 44 giving partially correct responses, 25 giving incorrect responses and 29 unsure of what the guidelines are. Despite the low level of correct responses, 59 of respondents reported they were confident or very confident in answering questions regarding physical activity. Only 4 of respondents reported having access to continual professional development (CPD) in the area of PA guidance. Key conclusions there appears to be a misplaced confidence amongst midwives in their knowledge of the NICE PA guidelines for pregnancy. Implications for practice as physical inactivity can be detrimental for the health of both mother and baby, there is a clear need for better dissemination of the current and future NICE physical activity guidelines in primary health care settings. The current study determined a substantial lack of CPD in the area of PA guidance, which may be a contributing factor to the lack of knowledge of the guidelines. As such, increasing CPD may in turn improve the accuracy of the advice given to pregnant women and consequently benefit the health of both mother and baby. Â© 2018 Elsevier Ltd	women
The Detection and Policing of Gun Crime: Challenges to the Effective Policing of Gun Crime in Europe	Despite a shared understanding across the EU that access to firearms by the general public should be restricted, detailed legislation regarding the ownership, use and trade of firearms varies between EU member states. It is unclear however, how such variations impact on the policing of gun enabled crime. By using qualitative data generated from interviews with police, policy and decision makers from thirteen European countries, the authors of this article aim to determine how stakeholders perceive that national variations in firearms legislation impact on the policing of gun enabled crime within and across EU countries. Four main themes were identified from the qualitative data: disparities in Legislation, disparities in Priority given and the Resources allocated to investigations into gun enabled crime as well as  Interventions. Due to the aforementioned disparities, cross-national investigations into incidents of gun crime are at risk of remaining impaired in their effectiveness. Therefore, more legislative coherency as well as sustainable long-term interventions will be needed to  successfully reduce ownership and use of firearms in the criminal world. In this context, a departure from an exclusive use of an economic model of gun crime is recommended to allow for a better understanding of the dynamics of the black gun market.	sustainable
Phase-based Treatment Versus Immediate Trauma-focused Treatment in Patients with Childhood Trauma-related Posttraumatic Stress Disorder: Study Protocol for a Randomized Controlled Trial	The treatment of posttraumatic stress disorder (PTSD) related to a history of sexual and/or physical abuse in childhood is the subject of international debate, with some favouring a phase-based approach as their preferred treatment, while others argue for immediate trauma-focused treatment. A history of (chronic) traumatisation during childhood has been linked to the development of distinct symptoms that are often labelled as symptoms of complex PTSD. Many therapists associate the presence of symptoms of complex PTSD with a less favourable treatment prognosis. The purpose of this study is to determine whether a phase-based approach is more effective than stand-alone trauma-focused therapy in individuals with PTSD and possible symptoms of complex PTSD resulting from a history of repeated sexual and/or physical abuse in childhood. An additional aim is to investigate moderators, predictors of treatment (non) response and drop-out. The sample consists of patients between 18 and 65 years old with a diagnosis of PTSD who report a history of repeated sexual and/or physical abuse in childhood (N = 122). Patients will be blindly allocated to either 16 sessions of eye movement desensitization and reprocessing (EMDR) therapy preceded by a stabilization phase (eight sessions of Skills Training in Affect and Interpersonal Regulation (STAIR)) or only 16 sessions of EMDR therapy. Assessments are carried out pre-treatment, after every eighth session, post-treatment, and at 3 and 6 months follow up. The main parameter will be the severity of PTSD symptoms (PTSD Symptoms Scale-Self Report). Secondary outcome variables are the presence of a PTSD diagnosis (Clinician-Administered PTSD Scale for DSM-5), severity of complex PTSD symptoms (Structured Interview for Disorders of Extreme Stress-Revised and symptoms-specific questionnaires), changes in symptoms of general psychopathology (Brief Symptom Inventory), and quality of life (Euroqol-5D). Health care consumption and productivity loss in patients will also be indexed. The study results may help to inform the ongoing debate about whether a phase-based approach has added value over immediate trauma-focused therapy in patients suffering from PTSD due to childhood abuse. Furthermore, the results will contribute to knowledge about the safety, efficacy, and cost-effectiveness of treatments in this target group. Nederlands Trialregister, NTR5991 . Registered on 23 august 2016. http://www.trialregister.nl/trialreg/admin/rctview.asp?TC=5991.	consumption
Talking Heresy About ‘Quality’ Early Childhood Education and Care for Children in Poverty	This paper considers the socially progressive function of a model of 'quality' early childhood education and care widely prescribed to address child poverty across England and the USA. Ubiquitous, it is imbued with a sense of objectivity, secureness and practicality. We question these foundations. Then using data from practitioners in both countries, we contrast expectations about this model of ECEC as an unmitigated good building resilience to 'break cycles of disadvantage', with the everyday experiences and frustrations of practitioners pursuing it. Their data suggest this model of 'quality' has limitations and some heresy is required about this policy orthodoxy.	poverty
Community Heterogeneity of Aquatic Macroinvertebrates in Urban Ponds at a Multi-city Scale	Purpose  Urbanisation is a leading cause of biotic homogenisation in urban ecosystems. However, there has been little research examining the effect of urbanisation and biotic homogenisation on aquatic communities, and few studies have compared findings across different urban landscapes. We assessed the processes that structure aquatic macroinvertebrate diversity within five UK urban settlements and characterise the heterogeneity of pond macroinvertebrate communities within and among urban areas.  Methods  A total of 132 ponds were sampled for invertebrates to characterise biological communities of ponds across five UK cities. Variation among sites within cities, and variation among cities, was partitioned into components of beta diversity relating to turnover and nestedness.  Results  We recorded 337 macroinvertebrate taxa, and species turnover almost entirely accounted for the high beta-diversity recorded within each urban area and when all ponds were considered. A total of 40% of all macroinvertebrates recorded were unique to a particular urban settlement. In contrast to the homogenisation of terrestrial and lotic communities in urban landscapes reported in the literature, ponds support highly heterogeneous communities within and among urban settlements.  Conclusions  The high species turnover (species replacement) recorded in this study demonstrates that urban pond biodiversity conservation would be most efficient at a landscape-scale, rather than at individual ponds. Pond conservation practices need to consider the spatial organization of ecological communities (landscape-scale) to ensure that the maximum possible biodiversity can be protected.	cities,ecosystems
Points-based Physical Sctivity: A Novel Approach to Facilitate Changes in Body Composition in Inactive Women with Overweight and Obesity	Background: Physical activity (PA) interventions for the promotion of weight-management may benefit from  increased choice and flexibility to overcome commonly-perceived barriers to PA. The aim of this study was to  investigate the effects of a novel “points-based” approach to PA on body composition in inactive women, who  are overweight or obese.  Methods: Seventy-six overweight or obese, inactive women were randomly allocated to one of three conditions:  ‘Points-based’ PA (PBPA; 30 “PA points”•week− 1), Structured exercise (StructEx; 150 min moderate-intensity  exercise•week− 1) or control (CONT; continue habitual inactive lifestyle) for a 24-week intervention. PA points for  activities were adapted from MET values, and 30 points was equivalent to 150 min of brisk walking. Measures of  body composition (dual-energy x-ray absorptiometry) and anthropometry were obtained at weeks 0, 4, 12 and 24.  Self-report activities were recorded weekly, with objective measures of PA (tri-axial accelerometry) and self-report  measures of food intake obtained at weeks 0 and 24.  Results: Fifty-eight women completed the study and provided data for primary outcomes. Of these, n = 41 and  n = 19 provided data for food intake and objectively assessed PA. Mixed-design ANOVAs demonstrated that those  in PBPA achieved a significant weight-loss at 24 weeks of − 3.3 ± 5.9 kg (− 3.4 ± 7.1%, p = 0.004). Waist circumference  was reduced in PBPA at 24 weeks (− 2.8 ± 4.6 cm), compared with CONT (+ 2.1 ± 6.6 cm, p = 0.024). There was a trend  for greater reductions in fat mass for those in PBPA vs. CONT (− 2.3 ± 4.6 kg vs. + 0.1 ± 2.0 kg, p = 0.075). Android fat  was reduced in PBPA at both 12 weeks (− 6.1 ± 12.6%, p = 0.005) and 24 weeks (− 10.1 ± 18.4%, p = 0.005), while  there was a trend for greater reductions in visceral adipose tissue in PBPA (− 5.8 ± 26.0%) vs. CONT at  24 weeks (+ 7.8 ± 18.3%, p = 0.053). Body composition, body weight and waist circumference were unchanged  in StructEx. There were trends for increases in light-activity and reductions in sedentary time in PBPA. There  was a trend for a reduction in daily energy intake of − 445 ± 564 kcal (p = 0.074), and a significant reduction  in daily fat intake (p = 0.042) in PBPA.  Conclusion: A “points-based” approach to physical activity appears to be an effective strategy for inducing modest  reductions in body weight and body fat in inactive women with overweight and obesity.	energy,women
Mania Triggered by Sleep Loss and Risk of Postpartum Psychosis in Women with Bipolar Disorder	Background: Women with bipolar disorder are at high risk of affective psychoses following childbirth (i.e.  “postpartum psychosis”, PP) and there is a need to identify which factors underlie this increased risk.  Vulnerability to mood dysregulation following sleep loss may influence risk of PP, as childbirth is typified by  sleep disruption. We investigated whether a history of mood episodes triggered by sleep loss was associated with  PP in women with bipolar disorder (BD).  Methods: Participants were 870 parous women with BD recruited to the Bipolar Disorder Research Network.  Lifetime diagnoses of BD and perinatal episodes were identified via interview and case notes. Information on  whether mood episodes had been triggered by sleep loss was derived at interview. Rates of PP were compared  between women who did and did not report mood episodes following sleep loss.  Results: Women who reported sleep loss triggering episodes of mania were twice as likely to have experienced an episode of PP (OR = 2.09, 95% CI = 1.47–2.97, p<0.001) compared to women who did not report this. There was no significant association between depression triggered by sleep loss and PP (p = 0.526).  Limitations: Data were cross-sectional therefore may be subject to recall bias. We also did not have objective data on sleep disruption that had occurred during the postpartum period or prior to mood episodes.  Conclusions: In clinical practice, a history of mania following sleep loss could be a marker of increased vulnerability to PP, and should be discussed with BD women who are pregnant or planning to conceive.	women
Synthetic Social Support: Theorizing Lay Health Worker Interventions	Levels of social support are strongly associated with health outcomes and inequalities. The use of lay health workers (LHWs) has been suggested by policy makers across the world as an intervention to identify risks to health and to promote health, particularly in disadvantaged communities. However, there have been few attempts to theorize the work undertaken by LHWs to understand how interventions work. In this article, the authors present the concept of 'synthetic socialsupport' and distinguish it from the work of health professionals or the spontaneous social support received from friends and family. The authors provide new empirical data to illustrate the concept based on qualitative, observational research, using a novel shadowing method involving clinical and non-clinical researchers, on the everyday work of 'pregnancy outreach workers' (POWs) in Birmingham, UK. The service was being evaluated as part of a randomized controlled trial. These LHWs provided instrumental, informational, emotional and appraisal support to the women they worked with, which are all key components of social support. The social support was 'synthetic' because it was distinct from the support embedded in spontaneous social networks: it was non-reciprocal; it was offered on a strictly time-limited basis; the LHWs were accountable for the relationship, and the social networks produced were targeted rather than spontaneous. The latter two qualities of this synthetic form of social support may have benefits over spontaneous networks by improving the opportunities for the cultivation of new relationships (both strong and weak ties) outside the women's existing spontaneous networks that can have a positive impact on them and by offering a reliable source of health information and support in a chaotic environment. The concept of SSS can help inform policy makers about how deploying lay workers may enable them to achieve desired outcomes, specify their programme theories and evaluate accordingly. [Abstract copyright: Copyright © 2017 The Authors. Published by Elsevier Ltd.. All rights reserved.]	women
